feature,importance
ANNUITY_TO_CREDIT,1069
pos_future_instalment_ratio,690
EXT_SOURCE_MEAN,664
bureau_days_credit_max,604
CREDIT_TO_GOODS,563
AMT_ANNUITY,558
EXT_SOURCE_3,558
EXT_2_3,518
prev_credit_goods_ratio_mean,500
EMPLOYED_MINUS_AGE,490
inst_amt_payment_sum,487
GOODS_CREDIT_DIFF,439
EXT_SOURCE_1,437
EXT_SOURCE_MIN,430
ANNUITY_TO_INCOME,429
bureau_credit_sum_max,426
EXT_SOURCE_2,420
AMT_GOODS_PRICE,419
bureau_debt_credit_ratio,414
DAYS_EMPLOYED,410
OWN_CAR_AGE,406
EMPLOYED_TO_AGE,406
DAYS_LAST_PHONE_CHANGE,406
DAYS_BIRTH,397
ORGANIZATION_TYPE_WOE,396
inst_payment_ratio_mean,395
EXT_1_2,394
bureau_days_enddate_mean,384
bureau_credit_sum_mean,368
REGION_POPULATION_RELATIVE,366
